period_id,node_id,person_id,role
OTPD000020,OTND00000450,532,اللجنة الإعلاميّة
OTPD000020,OTND00000451,534,اللجنة الإعلاميّة
OTPD000020,OTND00000452,2736,اللجنة الإعلاميّة
OTPD000020,OTND00000453,523,اللجنة الإعلاميّة
OTPD000020,OTND00000454,1259,مجلس فئتيّ الجامعيّة والعاملة
OTPD000020,OTND00000455,1392,مجلس فئة الثانوي
OTPD000020,OTND00000456,241,مجلس فئة الثانوي
OTPD000020,OTND00000457,3112,المرشد الروحي
OTPD000020,OTND00000458,3112,المسؤول العام
OTPD000021,OTND00000459,2537,المسؤول العام
OTPD000021,OTND00000460,3177,المرشد الروحي
OTPD000021,OTND00000461,3178,مستشار الشبيبة
OTPD000021,OTND00000462,221,مسؤول فئة العاملة
OTPD000021,OTND00000463,195,مسؤول فئة العاملة
OTPD000021,OTND00000464,221,نائب المسؤول العام
OTPD000021,OTND00000465,3068,مسؤول فئة الجامعيّة
OTPD000021,OTND00000466,1850,مسؤول فئة الجامعيّة
OTPD000021,OTND00000467,3179,مسؤول فئة الثانوي
OTPD000021,OTND00000468,172,مسؤول فئة الثانوي
OTPD000021,OTND00000469,3180,مرشد روحي فئة الثانوي
OTPD000021,OTND00000470,1270,مسؤول فئة الإعدادي
OTPD000021,OTND00000471,3181,مرشد روحي فئة الإعدادي
OTPD000021,OTND00000472,1981,مسؤول فئة البراعم
OTPD000021,OTND00000473,1960,مسؤول فئة البراعم
OTPD000021,OTND00000474,3182,مرشد روحي فئة البراعم
OTPD000021,OTND00000475,1387,مسؤول اللجنة الإعلاميّة
OTPD000021,OTND00000476,43,مسؤول اللجنة الإعلاميّة
OTPD000021,OTND00000477,7,مسؤول اللجنة الإعلاميّة
OTPD000021,OTND00000478,1848,مسؤول لجنة الخدمة
OTPD000021,OTND00000479,3183,مسؤول لجنة الخدمة
OTPD000021,OTND00000480,2535,مسؤول لجنة الخدمة
OTPD000022,OTND00000481,1359,المسؤول العام
OTPD000022,OTND00000482,3106,المرشد الروحي
OTPD000022,OTND00000483,3107,قائم بأعمال مسؤول فئتيّ الجامعيّة والعاملة
OTPD000022,OTND00000484,1359,قائم بأعمال مسؤول فئة الثانوي
OTPD000022,OTND00000485,385,مسؤول فئة الإعدادي
OTPD000022,OTND00000486,3108,مسؤول فئة البراعم
OTPD000022,OTND00000487,1494,مسؤول لجنة العلاقات العامة
OTPD000022,OTND00000488,749,مسؤول اللجنة الإعلاميّة
OTPD000022,OTND00000489,3109,نائب المسؤول العام
OTPD000023,OTND00000490,1565,المسؤول العام
OTPD000023,OTND00000491,253,أمين الصندوق
OTPD000023,OTND00000492,325,مسؤول لجنة العلاقات العامة
OTPD000023,OTND00000493,200,أمين السر
OTPD000023,OTND00000494,1565,مسؤول فئتيّ الجامعيّة والعاملة
OTPD000023,OTND00000495,3101,المرشد الروحي
